item_name,item_buy_price,item_sell_price,item_total_price,buy_lp_profit,sell_lp_profit,buy_volume
Navy Cap Booster 150,642000.0,38000.0,518940.0,311,609,479
Navy Cap Booster 25,79980.0,5073.0,63362.0,262,602,4013
Caldari Navy Plutonium Charge S,1510000.0,455.0,1519950.0,-8,597,148000
Zainou 'Gypsy' Long Range Targeting LT-805,94160000.0,127300000.0,79375000,176,572,1
Zainou 'Deadeye' Target Navigation Prediction TN-901,306200.0,588000.0,375000,-174,539,19
Navy Cap Booster 200,943200.0,47170.0,672880.0,513,513,1006
Zainou 'Gnome' Shield Management SM-701,204900.0,577000.0,375000,-431,511,77
Caldari Navy Uranium Charge M,2011000.0,530.0,1815000.0,115,494,96000
Navy Cap Booster 50,197560.0,10400.0,147360.0,380,460,21976
Zainou 'Gnome' Launcher CPU Efficiency LE-601,150000.0,453500.0,375000,-570,198,1000
Zainou 'Gypsy' Signature Analysis SA-701,40490.0,447000.0,375000,-848,182,1
Zainou 'Gnome' Launcher CPU Efficiency LE-605,65330000.0,93480000.0,79375000,-168,168,1
Zainou 'Snapshot' Heavy Assault Missiles AM-701,321600.0,418900.0,375000,-135,111,953
Caldari Navy Cruise Missile Launcher,61590000.0,73900000.0,70771000.0,-291,98,6
Navy Cap Booster 75,273600.0,17960.0,343780.0,-361,78,2601
Caldari Navy Iridium Charge S,1215000.0,270.0,1257500.0,-34,73,325226
Caldari Navy Multispectrum Shield Hardener,407700000.0,443300000.0,431122500.0,-124,63,1
Caldari Navy Rapid Heavy Missile Launcher,56090000.0,64920000.0,63330200.0,-262,57,2
Zainou 'Snapshot' Heavy Missiles HM-701,71010.0,368800.0,375000,-770,-16,12
Zainou 'Gypsy' Long Range Targeting LT-801,10000.0,299000.0,375000,-925,-192,441
Zainou 'Deadeye' Large Hybrid Turret LH-1001,183400.0,251000.0,375000,-485,-314,9
Caldari Navy Large Graviton Smartbomb,56300000.0,114500000.0,134717200.0,-1325,-342,1
Caldari Navy 350mm Railgun,9087000.0,39920000.0,61768000.0,-1669,-692,4
Zainou 'Snapshot' Torpedoes TD-601,1.0,50000.0,375000,-950,-823,1000
Caldari Navy Warp Scrambler,67840000.0,73840000.0,86311400.0,-1254,-846,1
Caldari Navy Warp Disruptor,67840000.0,73840000.0,86335100.0,-1255,-848,1
Zainou 'Gypsy' Long Range Targeting LT-803,10000.0,299000.0,10875000,-950,-924,441
Eifyr and Co. 'Gunslinger' Motion Prediction MR-705,101200.0,668900.0,79375000,-949,-942,19
Caldari Navy Medium Graviton Smartbomb,55540000.0,225000000.0,273472700.0,-4600,-1024,2
Caldari Navy Thermal Shield Hardener,5392000.0,13840000.0,26674800.0,-1797,-1083,1
Caldari Navy Kinetic Shield Hardener,4350000.0,8642000.0,26675900.0,-1885,-1523,9
Caldari Navy Dual 250mm Railgun,2057000.0,9081000.0,60152800.0,-1840,-1617,6
Caldari Navy Explosive Shield Hardener,415600.0,2588000.0,26645000.0,-2215,-2032,3
Caldari Navy Co-Processor,111300000.0,118800000.0,273344100.0,-3420,-3263,2
Caldari Navy 200mm Railgun,5250000.0,,144085000.0,-5495,-10003,8
Caldari Navy 125mm Railgun,405800.0,1895000.0,312262830.0,-10581,-10530,6
Caldari Navy Light Missile Launcher,62010000.0,73890000.0,312264780.0,-13208,-12581,2
Caldari Navy Rocket Launcher (Production)*,157800000.0,44210000.0,936574666.8000001,-13700,-12588,2
Caldari Navy Cloaking Device,30310000.0,39060000.0,209387590.0,-14177,-13484,2
Caldari Navy Rocket Launcher,31560000.0,44210000.0,312259870.0,-14815,-14147,2
Caldari Navy 250mm Railgun,501300.0,,144113000.0,-5684,-14706,2
Caldari Navy Dual 150mm Railgun,14000000.0,,143895000.0,-5142,-15480,3
Caldari Navy Small Shield Booster,20100000.0,25400000.0,529156820.0,-15922,-15755,3
Caldari Navy 150mm Railgun,6010000.0,9000000.0,312259880.0,-16163,-16005,2
Caldari Navy 75mm Railgun,300300.0,3499000.0,312244476.0,-16464,-16295,5
Caldari Navy Small Graviton Smartbomb,10020.0,364000.0,585593180.0,-16483,-16473,100
Time of creation: 2023-08-08 11:30:46
