id,item_name,price_sell_jita,price_buy_jita,sell_vol_jita,buy_vol_jita,station_price_diff_jita_%,price_sell_amarr,price_buy_amarr,sell_vol_amarr,buy_vol_amarr,station_price_diff_amarr_%,jita_to_amarr_sell_sell_%,jita_to_amarr_buy_buy_%,jita_to_amarr_sell_buy_%,jita_to_amarr_buy_sell_%
28844,Rhea,11480.00 M ISK,9900.00 M ISK,1.00 ISK,1.00 ISK,13.76,12990.00 M ISK,9551.00 M ISK,1.00 ISK,1.00 ISK,26.47,13.15,-3.53,-16.8,31.21
34317,Confessor,60.26 M ISK,53.29 M ISK,1.00 ISK,2.00 ISK,11.57,68.16 M ISK,59.12 M ISK,1.00 ISK,2.00 ISK,13.26,13.11,10.94,-1.89,27.9
72913,Imicus Navy Issue,8.20 M ISK,7.25 M ISK,1.00 ISK,1.00 ISK,11.59,9.19 M ISK,5.50 M ISK,1.00 ISK,2.00 ISK,40.14,12.06,-24.13,-32.92,26.75
28659,Paladin,1326.00 M ISK,1208.00 M ISK,1.00 ISK,1.00 ISK,8.9,1484.00 M ISK,1320.00 M ISK,1.00 ISK,1.00 ISK,11.05,11.92,9.27,-0.45,22.85
72812,Ferox Navy Issue,139.00 M ISK,132.00 M ISK,6.00 ISK,4.00 ISK,5.04,155.50 M ISK,133.30 M ISK,1.00 ISK,2.00 ISK,14.28,11.87,0.98,-4.1,17.8
12729,Crane,163.20 M ISK,153.40 M ISK,2.00 ISK,2.00 ISK,6.0,182.00 M ISK,154.80 M ISK,1.00 ISK,1.00 ISK,14.95,11.52,0.91,-5.15,18.64
12021,Phobos,258.70 M ISK,231.50 M ISK,1.00 ISK,1.00 ISK,10.51,288.10 M ISK,252.70 M ISK,3.00 ISK,2.00 ISK,12.29,11.36,9.16,-2.32,24.45
11194,Kitsune,22.47 M ISK,19.43 M ISK,83.00 ISK,7.00 ISK,13.53,25.01 M ISK,7.50 M ISK,2.00 ISK,2.00 ISK,70.01,11.3,-61.39,-66.62,28.72
29344,Exequror Navy Issue,46.46 M ISK,42.60 M ISK,1.00 ISK,3.00 ISK,8.31,51.69 M ISK,38.77 M ISK,4.00 ISK,3.00 ISK,25.0,11.26,-8.99,-16.55,21.34
11400,Jaguar,28.77 M ISK,24.43 M ISK,1.00 ISK,4.00 ISK,15.09,31.98 M ISK,25.14 M ISK,1.00 ISK,3.00 ISK,21.39,11.16,2.91,-12.62,30.9
33153,Drake Navy Issue,143.70 M ISK,133.90 M ISK,9.00 ISK,1.00 ISK,6.82,159.60 M ISK,141.90 M ISK,1.00 ISK,1.00 ISK,11.09,11.06,5.97,-1.25,19.19
17634,Caracal Navy Issue,44.17 M ISK,40.39 M ISK,8.00 ISK,9.00 ISK,8.56,48.89 M ISK,46.28 M ISK,1.00 ISK,1.00 ISK,5.34,10.69,14.58,4.78,21.04
28848,Anshar,10020.00 M ISK,9524.00 M ISK,1.00 ISK,1.00 ISK,4.95,11080.00 M ISK,9024.00 M ISK,1.00 ISK,1.00 ISK,18.56,10.58,-5.25,-9.94,16.34
12733,Prorator,137.60 M ISK,127.80 M ISK,1.00 ISK,2.00 ISK,7.12,152.10 M ISK,142.30 M ISK,1.00 ISK,1.00 ISK,6.44,10.54,11.35,3.42,19.01
17812,Republic Fleet Firetail,10.62 M ISK,7.31 M ISK,5.00 ISK,1.00 ISK,31.17,11.73 M ISK,9.11 M ISK,2.00 ISK,1.00 ISK,22.3,10.45,24.68,-14.18,60.47
17932,Dramiel,68.00 M ISK,60.09 M ISK,6.00 ISK,1.00 ISK,11.63,74.94 M ISK,55.26 M ISK,2.00 ISK,1.00 ISK,26.26,10.21,-8.04,-18.74,24.71
12745,Occator,204.70 M ISK,195.90 M ISK,2.00 ISK,4.00 ISK,4.3,225.50 M ISK,203.00 M ISK,1.00 ISK,1.00 ISK,9.98,10.16,3.62,-0.83,15.11
586,Probe,585.40 K ISK,528.10 K ISK,1.00 ISK,22.00 ISK,9.79,643.90 K ISK,353.60 K ISK,3.00 ISK,37.00 ISK,45.08,9.99,-33.04,-39.6,21.93
33157,Hurricane Fleet Issue,140.00 M ISK,130.90 M ISK,2.00 ISK,2.00 ISK,6.5,153.90 M ISK,134.00 M ISK,2.00 ISK,2.00 ISK,12.93,9.93,2.37,-4.29,17.57
11186,Malediction,24.59 M ISK,20.31 M ISK,2.00 ISK,4.00 ISK,17.41,27.00 M ISK,19.90 M ISK,3.00 ISK,3.00 ISK,26.3,9.8,-2.02,-19.07,32.94
12003,Zealot,181.00 M ISK,170.50 M ISK,5.00 ISK,1.00 ISK,5.8,198.40 M ISK,179.60 M ISK,1.00 ISK,2.00 ISK,9.48,9.61,5.34,-0.77,16.36
33816,Garmur,77.61 M ISK,70.88 M ISK,4.00 ISK,5.00 ISK,8.67,84.93 M ISK,78.25 M ISK,2.00 ISK,1.00 ISK,7.87,9.43,10.4,0.82,19.82
17928,Daredevil,123.30 M ISK,116.90 M ISK,1.00 ISK,1.00 ISK,5.19,134.80 M ISK,112.80 M ISK,1.00 ISK,1.00 ISK,16.32,9.33,-3.51,-8.52,15.31
12032,Manticore,28.49 M ISK,26.17 M ISK,6.00 ISK,16.00 ISK,8.14,31.00 M ISK,25.46 M ISK,3.00 ISK,1.00 ISK,17.87,8.81,-2.71,-10.64,18.46
29986,Legion,216.20 M ISK,208.00 M ISK,3.00 ISK,3.00 ISK,3.79,235.20 M ISK,202.20 M ISK,1.00 ISK,10.00 ISK,14.03,8.79,-2.79,-6.48,13.08
625,Augoror,11.22 M ISK,9.06 M ISK,4.00 ISK,10.00 ISK,19.25,12.20 M ISK,8.89 M ISK,1.00 ISK,3.00 ISK,27.11,8.73,-1.85,-20.75,34.66
11184,Crusader,21.58 M ISK,18.19 M ISK,9.00 ISK,1.00 ISK,15.71,23.44 M ISK,20.87 M ISK,1.00 ISK,4.00 ISK,10.96,8.62,14.73,-3.29,28.86
11995,Onyx,311.00 M ISK,290.40 M ISK,3.00 ISK,1.00 ISK,6.62,336.90 M ISK,272.30 M ISK,1.00 ISK,1.00 ISK,19.17,8.33,-6.23,-12.44,16.01
33818,Orthrus,282.40 M ISK,267.60 M ISK,1.00 ISK,1.00 ISK,5.24,305.80 M ISK,271.30 M ISK,2.00 ISK,1.00 ISK,11.28,8.29,1.38,-3.93,14.28
623,Moa,13.89 M ISK,13.20 M ISK,4.00 ISK,18.00 ISK,4.97,15.04 M ISK,9.16 M ISK,1.00 ISK,3.00 ISK,39.1,8.28,-30.61,-34.05,13.94
33155,Harbinger Navy Issue,154.10 M ISK,135.50 M ISK,1.00 ISK,2.00 ISK,12.07,166.80 M ISK,133.10 M ISK,3.00 ISK,1.00 ISK,20.2,8.24,-1.77,-13.63,23.1
17918,Rattlesnake,919.20 M ISK,866.80 M ISK,1.00 ISK,2.00 ISK,5.7,989.90 M ISK,894.20 M ISK,1.00 ISK,1.00 ISK,9.67,7.69,3.16,-2.72,14.2
33468,Astero,80.84 M ISK,74.01 M ISK,1.00 ISK,6.00 ISK,8.45,86.99 M ISK,74.19 M ISK,10.00 ISK,1.00 ISK,14.71,7.61,0.24,-8.23,17.54
12044,Enyo,27.69 M ISK,25.31 M ISK,73.00 ISK,19.00 ISK,8.6,29.78 M ISK,26.22 M ISK,1.00 ISK,5.00 ISK,11.95,7.55,3.6,-5.31,17.66
34328,Bowhead,2108.00 M ISK,1993.00 M ISK,1.00 ISK,1.00 ISK,5.46,2266.00 M ISK,1757.00 M ISK,1.00 ISK,1.00 ISK,22.46,7.5,-11.84,-16.65,13.7
22460,Eris,55.79 M ISK,50.76 M ISK,14.00 ISK,5.00 ISK,9.02,59.92 M ISK,46.04 M ISK,1.00 ISK,1.00 ISK,23.16,7.4,-9.3,-17.48,18.05
20125,Curse,217.00 M ISK,194.10 M ISK,2.00 ISK,2.00 ISK,10.55,233.00 M ISK,204.10 M ISK,1.00 ISK,1.00 ISK,12.4,7.37,5.15,-5.94,20.04
52252,Ikitursa,298.30 M ISK,282.00 M ISK,1.00 ISK,1.00 ISK,5.46,319.80 M ISK,201.30 M ISK,2.00 ISK,3.00 ISK,37.05,7.21,-28.62,-32.52,13.4
32309,Scorpion Navy Issue,478.30 M ISK,455.00 M ISK,1.00 ISK,1.00 ISK,4.87,512.70 M ISK,469.10 M ISK,1.00 ISK,1.00 ISK,8.5,7.19,3.1,-1.92,12.68
22428,Redeemer,1448.00 M ISK,1363.00 M ISK,1.00 ISK,1.00 ISK,5.87,1550.00 M ISK,1275.00 M ISK,1.00 ISK,1.00 ISK,17.74,7.04,-6.46,-11.95,13.72
12011,Eagle,130.70 M ISK,126.10 M ISK,1.00 ISK,3.00 ISK,3.52,139.70 M ISK,118.40 M ISK,2.00 ISK,1.00 ISK,15.25,6.89,-6.11,-9.41,10.79
17732,Tempest Fleet Issue,484.70 M ISK,450.30 M ISK,1.00 ISK,1.00 ISK,7.1,518.00 M ISK,474.50 M ISK,1.00 ISK,1.00 ISK,8.4,6.87,5.37,-2.1,15.03
12042,Ishkur,28.51 M ISK,26.00 M ISK,8.00 ISK,2.00 ISK,8.8,30.46 M ISK,24.18 M ISK,2.00 ISK,5.00 ISK,20.62,6.84,-7.0,-15.19,17.15
37460,Scalpel,18.93 M ISK,16.20 M ISK,26.00 ISK,1.00 ISK,14.42,20.22 M ISK,7.00 M ISK,1.00 ISK,1.00 ISK,65.38,6.81,-56.79,-63.02,24.81
17636,Raven Navy Issue,536.20 M ISK,483.50 M ISK,2.00 ISK,1.00 ISK,9.83,572.40 M ISK,515.00 M ISK,1.00 ISK,1.00 ISK,10.03,6.75,6.51,-3.95,18.39
72869,Myrmidon Navy Issue,141.20 M ISK,136.10 M ISK,1.00 ISK,1.00 ISK,3.61,150.70 M ISK,127.50 M ISK,1.00 ISK,5.00 ISK,15.39,6.73,-6.32,-9.7,10.73
20183,Providence,2486.00 M ISK,2363.00 M ISK,1.00 ISK,1.00 ISK,4.95,2649.00 M ISK,2233.00 M ISK,1.00 ISK,1.00 ISK,15.7,6.56,-5.5,-10.18,12.1
37482,Stork,53.46 M ISK,51.73 M ISK,1.00 ISK,2.00 ISK,3.24,56.92 M ISK,37.00 M ISK,1.00 ISK,2.00 ISK,35.0,6.47,-28.47,-30.79,10.03
17720,Cynabal,200.00 M ISK,188.60 M ISK,5.00 ISK,2.00 ISK,5.7,212.80 M ISK,150.80 M ISK,4.00 ISK,1.00 ISK,29.14,6.4,-20.04,-24.6,12.83
22452,Heretic,53.46 M ISK,49.01 M ISK,13.00 ISK,8.00 ISK,8.32,56.78 M ISK,38.21 M ISK,8.00 ISK,3.00 ISK,32.71,6.21,-22.04,-28.53,15.85
582,Bantam,127.10 K ISK,82.61 K ISK,3.00 ISK,68.00 ISK,35.0,134.90 K ISK,42.18 K ISK,44.00 ISK,3.00 ISK,68.73,6.14,-48.94,-66.81,63.3
628,Arbitrator,9.90 M ISK,7.18 M ISK,3.00 ISK,1.00 ISK,27.49,10.50 M ISK,9.16 M ISK,1.00 ISK,1.00 ISK,12.74,6.06,27.64,-7.45,46.28
33820,Barghest,1141.00 M ISK,1023.00 M ISK,1.00 ISK,1.00 ISK,10.34,1210.00 M ISK,820.00 M ISK,1.00 ISK,1.00 ISK,32.23,6.05,-19.84,-28.13,18.28
28665,Vargur,1360.00 M ISK,1272.00 M ISK,1.00 ISK,1.00 ISK,6.47,1442.00 M ISK,1265.00 M ISK,1.00 ISK,1.00 ISK,12.27,6.03,-0.55,-6.99,13.36
29984,Tengu,218.30 M ISK,206.10 M ISK,1.00 ISK,1.00 ISK,5.59,230.00 M ISK,195.50 M ISK,1.00 ISK,1.00 ISK,15.0,5.36,-5.14,-10.44,11.6
17476,Covetor,57.96 M ISK,54.78 M ISK,1.00 ISK,2.00 ISK,5.49,60.95 M ISK,53.36 M ISK,4.00 ISK,1.00 ISK,12.45,5.16,-2.59,-7.94,11.26
11959,Rook,178.70 M ISK,165.30 M ISK,2.00 ISK,4.00 ISK,7.5,187.90 M ISK,157.00 M ISK,1.00 ISK,1.00 ISK,16.44,5.15,-5.02,-12.14,13.67
32305,Armageddon Navy Issue,498.70 M ISK,460.20 M ISK,1.00 ISK,1.00 ISK,7.72,524.20 M ISK,453.10 M ISK,1.00 ISK,1.00 ISK,13.56,5.11,-1.54,-9.14,13.91
33151,Brutix Navy Issue,142.70 M ISK,134.60 M ISK,7.00 ISK,1.00 ISK,5.68,149.90 M ISK,139.10 M ISK,1.00 ISK,1.00 ISK,7.2,5.05,3.34,-2.52,11.37
35683,Hecate,69.36 M ISK,66.23 M ISK,4.00 ISK,1.00 ISK,4.51,72.84 M ISK,61.24 M ISK,3.00 ISK,3.00 ISK,15.93,5.02,-7.53,-11.71,9.98
17736,Nightmare,1200.00 M ISK,1085.00 M ISK,1.00 ISK,1.00 ISK,9.58,1260.00 M ISK,960.00 M ISK,1.00 ISK,1.00 ISK,23.81,5.0,-11.52,-20.0,16.13
12005,Ishtar,206.60 M ISK,198.20 M ISK,3.00 ISK,5.00 ISK,4.07,216.60 M ISK,197.00 M ISK,6.00 ISK,1.00 ISK,9.05,4.84,-0.61,-4.65,9.28
